name,window.start,window.end,minutes,cpuCores,cpuCoreRequestAverage,cpuCoreUsageAverage,cpuCoreHours,cpuCost,cpuCostAdjustment,cpuEfficiency,gpuCount,gpuHours,gpuCost,gpuCostAdjustment,networkTransferBytes,networkReceiveBytes,networkCost,networkCostAdjustment,loadBalancerCost,loadBalancerCostAdjustment,pvBytes,pvByteHours,pvCost,pvCostAdjustment,ramBytes,ramByteRequestAverage,ramByteUsageAverage,ramByteHours,ramCost,ramCostAdjustment,ramEfficiency,sharedCost,externalCost,totalCost,totalEfficiency,rawAllocationOnly,properties.cluster,properties.container,properties.namespace,properties.pod,properties.node,properties.controller,properties.controllerKind,properties.providerID
__unmounted__,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450055696.786886,3450055696.786886,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176,0.0,,cluster-one,__unmounted__,__unmounted__,__unmounted__,,,,
app,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.000695,0.0,0.000694,0.000695,1.2e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224557996.065574,4224557996.065574,0.000216,0.0,3172625.066667,0.0,3172966.4,3172625.066667,7e-06,0.0,1.0,0.0,0.0,0.000234,1.0,,cluster-one,app,default,app,ip-192-168-93-104.ec2.internal,,,i-049e2073289546110
aws-load-balancer-controller-bfbb5f4b4-sv6vd,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.000399,0.0,0.000398,0.000399,2e-06,0.0,1.0,0.0,0.0,0.0,0.0,483813.448737,1600533.614489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29573120.0,0.0,29573120.0,29573120.0,1.8e-05,0.0,1.0,0.0,0.0,2e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-sv6vd,ip-192-168-31-75.ec2.internal,aws-load-balancer-controller,deployment,i-01f906f4a51f54699
aws-load-balancer-controller-bfbb5f4b4-zb7zd,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.001273,0.0,0.001273,0.001273,7e-06,0.0,1.0,0.0,0.0,0.0,0.0,2717577.45268,5123008.264966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34369604.266667,0.0,34366122.666667,34369604.266667,2.4e-05,0.0,1.0,0.0,0.0,3.2e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-zb7zd,ip-192-168-98-93.ec2.internal,aws-load-balancer-controller,deployment,i-07669448a2765f8ec
aws-node-48dxg,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002715,0.025,0.000125,0.0,0.10859,0.0,0.0,0.0,0.0,363424578.205718,358145989.882699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33558357.333333,0.0,33556753.066667,33558357.333333,2.1e-05,0.0,1.0,0.0,0.0,0.000146,0.236473,,cluster-one,aws-node,kube-system,aws-node-48dxg,ip-192-168-31-75.ec2.internal,aws-node,daemonset,i-01f906f4a51f54699
aws-node-c4b4l,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002743,0.025,0.000142,0.0,0.109703,0.0,0.0,0.0,0.0,38981928.654056,34711921.717834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37389687.466667,0.0,37389516.8,37389687.466667,2.6e-05,0.0,1.0,0.0,0.0,0.000168,0.24974,,cluster-one,aws-node,kube-system,aws-node-c4b4l,ip-192-168-98-93.ec2.internal,aws-node,daemonset,i-07669448a2765f8ec
aws-node-jh8kp,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002784,0.025,0.000415,0.0,0.111371,0.0,0.0,0.0,0.0,250868361.713901,243322805.513993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43501909.333333,0.0,43499929.6,43501909.333333,9e-05,0.0,1.0,0.0,0.0,0.000505,0.269938,,cluster-one,aws-node,kube-system,aws-node-jh8kp,ip-192-168-93-104.ec2.internal,aws-node,daemonset,i-049e2073289546110
aws-node-vbm2d,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002896,0.025,0.00027,0.0,0.115857,0.0,0.0,0.0,0.0,135108289.765532,133310637.47118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42156544.0,0.0,42159923.2,42156544.0,5.7e-05,0.0,1.0,0.0,0.0,0.000327,0.269599,,cluster-one,aws-node,kube-system,aws-node-vbm2d,ip-192-168-62-8.ec2.internal,aws-node,daemonset,i-02d182eeac08388df
aws-node-w2j5x,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002754,0.025,0.000684,0.0,0.110145,0.0,0.0,0.0,0.0,9936307.965251,8146380.623492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40326724.266667,0.0,40325051.733333,40326724.266667,0.000138,0.0,1.0,0.0,0.0,0.000822,0.259286,,cluster-one,aws-node,kube-system,aws-node-w2j5x,ip-192-168-80-88.ec2.internal,aws-node,daemonset,i-0074731651b2958fe
aws-node-zhgvj,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.025,0.025,0.002805,0.025,0.000415,0.0,0.112207,0.0,0.0,0.0,0.0,64224713.559812,57812279.4555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53465770.666667,0.0,53461333.333333,53465770.666667,0.000111,0.0,1.0,0.0,0.0,0.000526,0.299264,,cluster-one,aws-node,kube-system,aws-node-zhgvj,ip-192-168-36-153.ec2.internal,aws-node,daemonset,i-0fa94b0f04cbcc960
coredns-d5b9bfc4-4qwfc,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.1,0.1,0.001126,0.1,0.001659,0.0,0.011256,0.0,0.0,0.0,0.0,1557554.63616,802893.89702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73400320.0,73400320.0,19904102.4,73400320.0,0.000152,0.0,0.271172,0.0,0.0,0.001811,0.033071,,cluster-one,coredns,kube-system,coredns-d5b9bfc4-4qwfc,ip-192-168-36-153.ec2.internal,coredns,deployment,i-0fa94b0f04cbcc960
coredns-d5b9bfc4-jzx6m,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.1,0.1,0.001125,0.1,0.001659,0.0,0.011246,0.0,0.0,0.0,0.0,1569624.067541,802823.53978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73400320.0,73400320.0,20682342.4,73400320.0,0.000152,0.0,0.281775,0.0,0.0,0.001811,0.033951,,cluster-one,coredns,kube-system,coredns-d5b9bfc4-jzx6m,ip-192-168-36-153.ec2.internal,coredns,deployment,i-0fa94b0f04cbcc960
ebs-csi-controller-649df4c499-4tbz4,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.001251,0.0,0.001251,0.001251,2.1e-05,0.0,1.0,0.0,0.0,0.0,0.0,682922.837877,1737819.933509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63089049.6,0.0,63101883.733333,63089049.6,0.000131,0.0,1.0,0.0,0.0,0.000151,1.0,,cluster-one,,kube-system,ebs-csi-controller-649df4c499-4tbz4,ip-192-168-36-153.ec2.internal,ebs-csi-controller,deployment,i-0fa94b0f04cbcc960
ebs-csi-controller-649df4c499-c2s7k,2022-11-29 00:00:00.000,2022-11-29 01:00:00.000,60.0,0.00326,0.0,0.003255,0.00326,5.4e-05,0.0,1.0,0.0,0.0,0.0,0.0,3313149.661321,6077212.79881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86134613.333333,0.0,86131643.733333,86134613.333333,0.000178,0.0,1.0,0.0,0.0,0.000233,1.0,,cluster-one,,kube-system,ebs-csi-controller-649df4c499-c2s7k,ip-192-168-93-104.ec2.internal,ebs-csi-controller,deployment,i-049e2073289546110
