name,window.start,window.end,minutes,cpuCores,cpuCoreRequestAverage,cpuCoreUsageAverage,cpuCoreHours,cpuCost,cpuCostAdjustment,cpuEfficiency,gpuCount,gpuHours,gpuCost,gpuCostAdjustment,networkTransferBytes,networkReceiveBytes,networkCost,networkCostAdjustment,loadBalancerCost,loadBalancerCostAdjustment,pvBytes,pvByteHours,pvCost,pvs,pvCostAdjustment,ramBytes,ramByteRequestAverage,ramByteUsageAverage,ramByteHours,ramCost,ramCostAdjustment,ramEfficiency,sharedCost,externalCost,totalCost,totalEfficiency,rawAllocationOnly,properties.cluster,properties.container,properties.namespace,properties.pod,properties.node,properties.controller,properties.controllerKind,properties.providerID
__idle__,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.0,0.0,0.0,0.0,-0.035919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.023322,0.0,0.0,0.0,0.0,3.987403,0.0,,cluster-two,,,,,,,
__unmounted__,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,cluster-two,__unmounted__,__unmounted__,__unmounted__,,,,
aws-node-58qk4,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003354,0.6,0.01902,-0.0,0.134161,0.0,0.0,0.0,0.0,96884594760.0327,97104078125.53136,0.00074,0.123568,0.0,0.0,0.0,0.0,0.0,,0.0,46104787.911111,0.0,46754963.911111,1106514909.866667,0.004379,-0.0,1.0,0.0,0.0,0.147706,0.296189,,cluster-two,aws-node,kube-system,aws-node-58qk4,ip-192-168-128-109.us-west-2.compute.internal,aws-node,daemonset,i-0b950d88c27dbfbe5
aws-node-6zqpp,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003434,0.6,0.01902,-0.0,0.137365,0.0,0.0,0.0,0.0,67312664339.38447,67093207490.10239,0.000735,0.099849,0.0,0.0,0.0,0.0,0.0,,0.0,43449388.088889,0.0,47024386.844444,1042785314.133333,0.004126,-0.0,1.0,0.0,0.0,0.12373,0.291153,,cluster-two,aws-node,kube-system,aws-node-6zqpp,ip-192-168-144-20.us-west-2.compute.internal,aws-node,daemonset,i-02c1f70d488b79374
aws-node-8prm8,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003426,0.6,0.019089,1e-06,0.137047,0.0,0.0,0.0,0.0,47742552974.40841,47683677658.09989,0.000737,0.057949,0.0,0.0,0.0,0.0,0.0,,0.0,43075707.733333,0.0,46984795.022222,1033816985.6,0.004105,0.0,1.0,0.0,0.0,0.081881,0.289791,,cluster-two,aws-node,kube-system,aws-node-8prm8,ip-192-168-166-7.us-west-2.compute.internal,aws-node,daemonset,i-0406c6f0eae2396f6
aws-node-bh67s,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003413,0.6,0.01902,-0.0,0.136505,0.0,0.0,0.0,0.0,102047886824.51736,101680347353.08662,0.000736,0.179123,0.0,0.0,0.0,0.0,0.0,,0.0,43235743.288889,0.0,46564700.74438,1037657838.933333,0.004106,-0.0,1.0,0.0,0.0,0.202984,0.289824,,cluster-two,aws-node,kube-system,aws-node-bh67s,ip-192-168-189-15.us-west-2.compute.internal,aws-node,daemonset,i-00eaf02d1e05d532a
aws-node-tsfnv,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003466,0.6,0.019089,1e-06,0.138621,0.0,0.0,0.0,0.0,53386744438.717896,53984410574.14892,0.000737,0.097225,0.0,0.0,0.0,0.0,0.0,,0.0,43239877.688889,0.0,46545262.07265,1037757064.533333,0.004121,0.0,1.0,0.0,0.0,0.121173,0.291564,,cluster-two,aws-node,kube-system,aws-node-tsfnv,ip-192-168-121-107.us-west-2.compute.internal,aws-node,daemonset,i-00868067998526003
aws-node-zjz9m,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.025,0.025,0.003298,0.6,0.019089,1e-06,0.131919,0.0,0.0,0.0,0.0,45699129186.1727,44745935993.96532,0.000737,0.077206,0.0,0.0,0.0,0.0,0.0,,0.0,45749505.422222,0.0,46736062.577778,1097988130.133333,0.00436,0.0,1.0,0.0,0.0,0.101393,0.293335,,cluster-two,aws-node,kube-system,aws-node-zjz9m,ip-192-168-121-154.us-west-2.compute.internal,aws-node,daemonset,i-0d68f38a5d45f95cb
awscli,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4338949.688889,0.0,4501504.0,104134792.533333,0.000414,0.0,1.0,0.0,0.0,0.000414,1.0,,cluster-two,awscli,kubecost,awscli,ip-192-168-121-154.us-west-2.compute.internal,,,i-0d68f38a5d45f95cb
carts-85c7bb8997-2lwdj,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,1440.0,0.1,0.1,0.007097,2.4,0.07608,-2e-06,0.070973,0.0,0.0,0.0,0.0,701039770.721547,604897774.337749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,524288000.0,524288000.0,322747386.311111,12582912000.0,0.049793,-1e-06,0.615592,0.0,0.0,0.12587,0.286414,,cluster-two,carts,tenant-2,carts-85c7bb8997-2lwdj,ip-192-168-128-109.us-west-2.compute.internal,carts,deployment,i-0b950d88c27dbfbe5
